resume_text,openness,conscientiousness,extraversion,agreeableness,emotional_stability
"Business Analyst resume. Bachelor of Technology. Skills: SQL, Power BI, Excel, Node.js, TensorFlow. Experience: delivered 5 projects. Highlights: creative experimentation; attention to detail; reliable delivery; organized planning; community events; client presentations; team workshops; conflict resolution; mentoring peers; empathetic communication; resilient problem solving; calm under pressure; steady decision making.",43,70,72,86,80
"Product Associate resume. Computer Science degree. Skills: Power BI, JavaScript, Docker, Java, Machine Learning, Node.js, TensorFlow. Experience: delivered 4 projects. Highlights: innovative ideas; creative experimentation; design thinking; reliable delivery; client presentations; stakeholder engagement; mentoring peers; cross-functional collaboration; deadline management; steady decision making.",84,32,50,67,61
"Machine Learning Intern resume. Master of Computer Applications. Skills: Java, AWS, JavaScript, Git, React, C++, Node.js. Experience: delivered 5 projects. Highlights: creative experimentation; innovative ideas; curious research; attention to detail; structured documentation; reliable delivery; community events; mentoring peers; team support; calm under pressure.",88,72,55,53,45
"Web Developer resume. Bachelor of Science. Skills: SQL, Node.js, React, Docker. Experience: delivered 3 projects. Highlights: curious research; creative experimentation; learning new technologies; structured documentation; stakeholder engagement; team workshops; mentoring peers; deadline management; adaptable execution.",75,49,78,31,71
"Data Analyst resume. Bachelor of Science. Skills: AWS, SQL, Power BI, Machine Learning, JavaScript. Experience: delivered 4 projects. Highlights: design thinking; innovative ideas; curious research; quality assurance; reliable delivery; attention to detail; stakeholder engagement; public speaking; team support; conflict resolution; resilient problem solving; calm under pressure.",73,75,59,64,69
"Software Engineer resume. Bachelor of Technology. Skills: Python, C++, Machine Learning, Node.js, JavaScript, Git. Experience: delivered 5 projects. Highlights: design thinking; reliable delivery; organized planning; structured documentation; public speaking; team workshops; stakeholder engagement; empathetic communication; team support; cross-functional collaboration; adaptable execution; resilient problem solving.",49,82,70,78,62
"Data Analyst resume. Bachelor of Technology. Skills: TensorFlow, C++, Python, JavaScript, Power BI, NLP, Node.js, SQL. Experience: delivered 5 projects. Highlights: curious research; organized planning; reliable delivery; stakeholder engagement; client presentations; cross-functional collaboration; mentoring peers; deadline management; calm under pressure.",53,71,65,62,57
"Machine Learning Intern resume. Bachelor of Technology. Skills: Excel, React, TensorFlow, Java. Experience: delivered 2 projects. Highlights: design thinking; curious research; innovative ideas; structured documentation; quality assurance; stakeholder engagement; public speaking; community events; mentoring peers; team support; conflict resolution; adaptable execution; calm under pressure; steady decision making.",88,61,71,77,86
"Software Engineer resume. Bachelor of Science. Skills: Node.js, Power BI, C++, Java, Git. Experience: delivered 3 projects. Highlights: creative experimentation; structured documentation; stakeholder engagement; community events; team support; calm under pressure.",56,46,65,33,51
"Product Associate resume. Master of Computer Applications. Skills: Git, Power BI, Node.js, Java. Experience: delivered 5 projects. Highlights: curious research; learning new technologies; creative experimentation; quality assurance; attention to detail; reliable delivery; team workshops; public speaking; client presentations; cross-functional collaboration; conflict resolution; mentoring peers; steady decision making; adaptable execution; resilient problem solving.",91,84,73,77,72
"Web Developer resume. Computer Science degree. Skills: NLP, Python, Excel, JavaScript, Git, Machine Learning. Experience: delivered 3 projects. Highlights: creative experimentation; learning new technologies; reliable delivery; quality assurance; client presentations; community events; empathetic communication; adaptable execution; calm under pressure; steady decision making.",65,68,61,39,72
"Software Engineer resume. Master of Computer Applications. Skills: TensorFlow, Docker, Excel, Machine Learning, Python, Git. Experience: delivered 3 projects. Highlights: creative experimentation; structured documentation; reliable delivery; attention to detail; public speaking; community events; cross-functional collaboration; empathetic communication; mentoring peers; deadline management; adaptable execution.",47,77,62,77,57
"Web Developer resume. Computer Science degree. Skills: Node.js, Machine Learning, JavaScript, C++, Git. Experience: delivered 1 projects. Highlights: creative experimentation; learning new technologies; structured documentation; client presentations; team workshops; public speaking; team support; mentoring peers; deadline management; calm under pressure.",54,38,79,56,65
"Product Associate resume. Computer Science degree. Skills: Git, Power BI, Node.js, Machine Learning, Excel. Experience: delivered 4 projects. Highlights: curious research; reliable delivery; organized planning; quality assurance; stakeholder engagement; client presentations; community events; cross-functional collaboration; deadline management; calm under pressure; steady decision making.",39,69,73,48,78
"Business Analyst resume. Computer Science degree. Skills: Node.js, Power BI, C++, NLP. Experience: delivered 2 projects. Highlights: curious research; quality assurance; attention to detail; client presentations; public speaking; mentoring peers; steady decision making; adaptable execution.",54,66,75,43,56
"Product Associate resume. Computer Science degree. Skills: AWS, Power BI, Git, Java. Experience: delivered 2 projects. Highlights: design thinking; learning new technologies; structured documentation; reliable delivery; team workshops; community events; conflict resolution; mentoring peers; resilient problem solving; deadline management.",62,69,65,52,56
"Business Analyst resume. Computer Science degree. Skills: SQL, Git, Excel, Node.js, AWS. Experience: delivered 1 projects. Highlights: innovative ideas; creative experimentation; structured documentation; client presentations; conflict resolution; mentoring peers; calm under pressure; resilient problem solving; deadline management.",66,47,50,63,70
"Machine Learning Intern resume. Master of Computer Applications. Skills: JavaScript, Power BI, Node.js, Python, Java, AWS, TensorFlow. Experience: delivered 3 projects. Highlights: learning new technologies; creative experimentation; quality assurance; organized planning; structured documentation; public speaking; team workshops; cross-functional collaboration; mentoring peers; calm under pressure; adaptable execution.",50,75,70,63,52
"Machine Learning Intern resume. Bachelor of Technology. Skills: C++, NLP, JavaScript, React, Git, Node.js, TensorFlow. Experience: delivered 4 projects. Highlights: design thinking; curious research; attention to detail; team workshops; cross-functional collaboration; mentoring peers; adaptable execution; resilient problem solving.",59,35,49,63,58
"Product Associate resume. Master of Computer Applications. Skills: Docker, Java, Git, SQL, React. Experience: delivered 5 projects. Highlights: learning new technologies; reliable delivery; quality assurance; structured documentation; stakeholder engagement; public speaking; mentoring peers; steady decision making.",49,77,61,39,47
"Web Developer resume. Bachelor of Technology. Skills: Excel, AWS, React, TensorFlow, C++, NLP, Node.js, JavaScript. Experience: delivered 1 projects. Highlights: learning new technologies; reliable delivery; organized planning; quality assurance; client presentations; conflict resolution; deadline management; steady decision making; calm under pressure.",47,74,60,47,72
"Machine Learning Intern resume. Master of Computer Applications. Skills: Machine Learning, C++, Node.js, JavaScript, Excel, Git. Experience: delivered 1 projects. Highlights: innovative ideas; attention to detail; organized planning; quality assurance; public speaking; stakeholder engagement; empathetic communication; resilient problem solving; adaptable execution; steady decision making.",52,86,69,33,71
"Web Developer resume. Master of Computer Applications. Skills: AWS, TensorFlow, Power BI, Java, Node.js, NLP, Docker. Experience: delivered 1 projects. Highlights: learning new technologies; innovative ideas; organized planning; stakeholder engagement; cross-functional collaboration; team support; mentoring peers; calm under pressure.",67,40,42,82,43
"Software Engineer resume. Bachelor of Science. Skills: Python, Node.js, Git, SQL. Experience: delivered 5 projects. Highlights: design thinking; innovative ideas; learning new technologies; attention to detail; client presentations; stakeholder engagement; team support; deadline management; calm under pressure; adaptable execution.",77,47,65,33,75
"Web Developer resume. Master of Computer Applications. Skills: React, Git, Java, C++, AWS, SQL. Experience: delivered 5 projects. Highlights: design thinking; structured documentation; attention to detail; stakeholder engagement; client presentations; mentoring peers; conflict resolution; steady decision making; calm under pressure; adaptable execution.",47,59,65,58,77
"Business Analyst resume. Bachelor of Science. Skills: JavaScript, Excel, NLP, React, SQL. Experience: delivered 5 projects. Highlights: curious research; creative experimentation; design thinking; organized planning; attention to detail; community events; cross-functional collaboration; conflict resolution; steady decision making.",73,58,37,68,58
"Business Analyst resume. Master of Computer Applications. Skills: JavaScript, Python, AWS, React. Experience: delivered 1 projects. Highlights: design thinking; organized planning; public speaking; team workshops; empathetic communication; team support; cross-functional collaboration; calm under pressure.",49,45,51,88,45
"Product Associate resume. Bachelor of Technology. Skills: NLP, SQL, Git, Machine Learning, React, C++, Python, Node.js. Experience: delivered 1 projects. Highlights: learning new technologies; quality assurance; client presentations; cross-functional collaboration; deadline management; adaptable execution; resilient problem solving.",47,44,41,44,77
"Business Analyst resume. Computer Science degree. Skills: Machine Learning, Power BI, AWS, Docker, NLP, C++, Node.js, Git. Experience: delivered 1 projects. Highlights: learning new technologies; design thinking; organized planning; quality assurance; public speaking; team workshops; cross-functional collaboration; empathetic communication; mentoring peers; adaptable execution.",63,61,62,76,40
"Software Engineer resume. Bachelor of Technology. Skills: TensorFlow, Node.js, AWS, JavaScript, C++, Git. Experience: delivered 1 projects. Highlights: design thinking; curious research; learning new technologies; structured documentation; attention to detail; quality assurance; public speaking; mentoring peers; conflict resolution; empathetic communication; calm under pressure; steady decision making; resilient problem solving.",83,79,47,65,75
"Software Engineer resume. Bachelor of Science. Skills: Java, Power BI, Python, Node.js, NLP, C++, AWS. Experience: delivered 2 projects. Highlights: innovative ideas; attention to detail; organized planning; community events; conflict resolution; team support; mentoring peers; calm under pressure; deadline management; resilient problem solving.",40,63,39,74,83
"Machine Learning Intern resume. Master of Computer Applications. Skills: C++, TensorFlow, Power BI, Node.js, Python, JavaScript, Excel, Machine Learning. Experience: delivered 1 projects. Highlights: design thinking; innovative ideas; creative experimentation; reliable delivery; attention to detail; stakeholder engagement; conflict resolution; adaptable execution; calm under pressure.",83,58,52,39,56
"Business Analyst resume. Bachelor of Technology. Skills: JavaScript, AWS, Node.js, Power BI, Java, NLP. Experience: delivered 1 projects. Highlights: creative experimentation; attention to detail; client presentations; community events; conflict resolution; empathetic communication; mentoring peers; deadline management; adaptable execution.",41,42,76,79,66
"Software Engineer resume. Master of Computer Applications. Skills: Excel, Machine Learning, SQL, AWS, Docker. Experience: delivered 5 projects. Highlights: creative experimentation; reliable delivery; stakeholder engagement; community events; team workshops; conflict resolution; mentoring peers; empathetic communication; steady decision making.",48,46,89,75,41
"Data Analyst resume. Bachelor of Science. Skills: Node.js, AWS, SQL, Python, Git, Docker. Experience: delivered 4 projects. Highlights: curious research; learning new technologies; quality assurance; organized planning; client presentations; team workshops; stakeholder engagement; empathetic communication; resilient problem solving.",64,68,74,57,32
"Machine Learning Intern resume. Bachelor of Science. Skills: Docker, Power BI, TensorFlow, C++, Node.js, SQL, Java, Python. Experience: delivered 5 projects. Highlights: innovative ideas; creative experimentation; structured documentation; organized planning; attention to detail; client presentations; mentoring peers; cross-functional collaboration; steady decision making; deadline management.",72,79,53,70,77
"Business Analyst resume. Bachelor of Science. Skills: Excel, JavaScript, SQL, Machine Learning, TensorFlow, C++. Experience: delivered 3 projects. Highlights: creative experimentation; curious research; structured documentation; quality assurance; reliable delivery; client presentations; stakeholder engagement; team support; steady decision making; resilient problem solving.",66,72,57,35,59
"Web Developer resume. Master of Computer Applications. Skills: Git, Excel, NLP, Java, C++, Power BI, AWS. Experience: delivered 2 projects. Highlights: creative experimentation; curious research; reliable delivery; attention to detail; organized planning; community events; team workshops; public speaking; cross-functional collaboration; resilient problem solving.",63,83,73,39,50
"Web Developer resume. Bachelor of Technology. Skills: Python, AWS, Node.js, SQL. Experience: delivered 5 projects. Highlights: innovative ideas; design thinking; quality assurance; client presentations; public speaking; conflict resolution; cross-functional collaboration; steady decision making; deadline management; resilient problem solving.",58,36,66,67,77
"Data Analyst resume. Computer Science degree. Skills: Power BI, SQL, Machine Learning, TensorFlow, JavaScript, Python. Experience: delivered 4 projects. Highlights: design thinking; creative experimentation; curious research; quality assurance; attention to detail; public speaking; stakeholder engagement; conflict resolution; empathetic communication; calm under pressure; deadline management; adaptable execution.",63,68,59,65,78
"Machine Learning Intern resume. Bachelor of Science. Skills: Machine Learning, TensorFlow, Docker, Node.js. Experience: delivered 3 projects. Highlights: innovative ideas; design thinking; structured documentation; quality assurance; public speaking; client presentations; community events; team support; calm under pressure; steady decision making.",59,65,76,38,63
"Machine Learning Intern resume. Bachelor of Science. Skills: SQL, TensorFlow, Java, Docker, Machine Learning, AWS, Python, NLP. Experience: delivered 2 projects. Highlights: innovative ideas; structured documentation; attention to detail; reliable delivery; client presentations; public speaking; stakeholder engagement; mentoring peers; steady decision making; resilient problem solving.",41,75,74,47,61
"Web Developer resume. Bachelor of Science. Skills: NLP, Docker, JavaScript, Excel, Power BI. Experience: delivered 4 projects. Highlights: curious research; design thinking; organized planning; reliable delivery; quality assurance; community events; client presentations; team support; adaptable execution.",56,84,67,43,48
"Data Analyst resume. Bachelor of Science. Skills: Git, C++, Excel, Node.js, Docker, Machine Learning, NLP, TensorFlow. Experience: delivered 5 projects. Highlights: curious research; structured documentation; reliable delivery; stakeholder engagement; team workshops; conflict resolution; empathetic communication; mentoring peers; deadline management; resilient problem solving; adaptable execution.",36,62,61,73,80
"Product Associate resume. Master of Computer Applications. Skills: Git, Machine Learning, JavaScript, Docker, SQL, React. Experience: delivered 1 projects. Highlights: innovative ideas; quality assurance; client presentations; conflict resolution; cross-functional collaboration; empathetic communication; calm under pressure; resilient problem solving.",48,48,34,76,68
"Web Developer resume. Computer Science degree. Skills: JavaScript, Python, Node.js, Git, C++. Experience: delivered 4 projects. Highlights: curious research; learning new technologies; organized planning; public speaking; team workshops; cross-functional collaboration; team support; calm under pressure; steady decision making.",61,43,63,70,60
"Web Developer resume. Computer Science degree. Skills: React, Node.js, SQL, Python, C++, Docker. Experience: delivered 1 projects. Highlights: curious research; design thinking; innovative ideas; quality assurance; community events; mentoring peers; calm under pressure.",83,34,31,42,49
"Business Analyst resume. Bachelor of Technology. Skills: Docker, JavaScript, TensorFlow, Excel, SQL, Machine Learning, AWS, Power BI. Experience: delivered 4 projects. Highlights: design thinking; quality assurance; attention to detail; team workshops; public speaking; community events; cross-functional collaboration; team support; resilient problem solving.",42,71,66,63,29
"Web Developer resume. Computer Science degree. Skills: Machine Learning, AWS, TensorFlow, JavaScript, Excel, Git. Experience: delivered 2 projects. Highlights: innovative ideas; creative experimentation; reliable delivery; client presentations; public speaking; community events; cross-functional collaboration; team support; resilient problem solving; calm under pressure.",61,38,77,60,52
"Web Developer resume. Master of Computer Applications. Skills: Git, Node.js, Python, TensorFlow, React, Java, AWS, Excel. Experience: delivered 3 projects. Highlights: creative experimentation; reliable delivery; team workshops; client presentations; stakeholder engagement; cross-functional collaboration; team support; empathetic communication; adaptable execution; deadline management.",33,39,78,85,66
"Software Engineer resume. Bachelor of Technology. Skills: SQL, Docker, NLP, JavaScript, Machine Learning, Node.js, AWS. Experience: delivered 3 projects. Highlights: learning new technologies; structured documentation; reliable delivery; team workshops; stakeholder engagement; mentoring peers; team support; adaptable execution; steady decision making; calm under pressure.",42,61,62,62,79
"Machine Learning Intern resume. Bachelor of Science. Skills: SQL, TensorFlow, Java, Docker. Experience: delivered 1 projects. Highlights: learning new technologies; curious research; innovative ideas; structured documentation; public speaking; mentoring peers; cross-functional collaboration; steady decision making; deadline management; resilient problem solving.",76,53,57,61,75
"Business Analyst resume. Master of Computer Applications. Skills: AWS, Git, Excel, SQL, NLP, JavaScript. Experience: delivered 4 projects. Highlights: creative experimentation; attention to detail; organized planning; structured documentation; public speaking; community events; team workshops; conflict resolution; cross-functional collaboration; team support; resilient problem solving; deadline management.",42,72,81,77,57
"Data Analyst resume. Bachelor of Technology. Skills: React, NLP, Node.js, Power BI, Git, C++, SQL. Experience: delivered 4 projects. Highlights: creative experimentation; curious research; structured documentation; quality assurance; reliable delivery; client presentations; team support; steady decision making.",49,66,49,52,40
"Business Analyst resume. Master of Computer Applications. Skills: React, SQL, C++, JavaScript, Excel, Git, Python, AWS. Experience: delivered 4 projects. Highlights: innovative ideas; reliable delivery; organized planning; quality assurance; community events; public speaking; team support; resilient problem solving; adaptable execution; deadline management.",46,84,68,39,83
"Web Developer resume. Master of Computer Applications. Skills: AWS, TensorFlow, SQL, Git, Power BI. Experience: delivered 2 projects. Highlights: innovative ideas; learning new technologies; structured documentation; community events; stakeholder engagement; team workshops; conflict resolution; calm under pressure.",70,39,71,34,35
"Machine Learning Intern resume. Bachelor of Science. Skills: Machine Learning, Node.js, SQL, Java, React, C++. Experience: delivered 3 projects. Highlights: curious research; learning new technologies; innovative ideas; organized planning; quality assurance; community events; team workshops; stakeholder engagement; empathetic communication; conflict resolution; mentoring peers; resilient problem solving.",82,73,81,66,47
"Web Developer resume. Master of Computer Applications. Skills: Node.js, TensorFlow, React, NLP, Docker, Power BI, Python, Git. Experience: delivered 3 projects. Highlights: curious research; design thinking; creative experimentation; quality assurance; reliable delivery; community events; cross-functional collaboration; conflict resolution; calm under pressure; adaptable execution; steady decision making.",69,70,39,59,79
"Product Associate resume. Bachelor of Science. Skills: NLP, JavaScript, AWS, Power BI, Excel, TensorFlow. Experience: delivered 3 projects. Highlights: learning new technologies; creative experimentation; organized planning; team workshops; stakeholder engagement; community events; mentoring peers; conflict resolution; resilient problem solving.",62,47,73,57,55
"Machine Learning Intern resume. Master of Computer Applications. Skills: Docker, Java, NLP, C++, React, JavaScript. Experience: delivered 2 projects. Highlights: learning new technologies; creative experimentation; reliable delivery; structured documentation; team workshops; empathetic communication; cross-functional collaboration; calm under pressure.",66,71,42,60,48
"Business Analyst resume. Bachelor of Technology. Skills: AWS, Python, Java, Node.js, Git, NLP, TensorFlow, Power BI. Experience: delivered 1 projects. Highlights: learning new technologies; innovative ideas; curious research; organized planning; client presentations; stakeholder engagement; conflict resolution; mentoring peers; resilient problem solving; adaptable execution.",77,49,64,71,65
"Machine Learning Intern resume. Bachelor of Technology. Skills: Docker, Machine Learning, Git, Java. Experience: delivered 2 projects. Highlights: learning new technologies; innovative ideas; organized planning; stakeholder engagement; cross-functional collaboration; empathetic communication; mentoring peers; adaptable execution; steady decision making.",61,44,58,89,58
"Business Analyst resume. Bachelor of Science. Skills: Excel, Git, Machine Learning, Java, JavaScript, NLP. Experience: delivered 3 projects. Highlights: design thinking; reliable delivery; attention to detail; team workshops; stakeholder engagement; conflict resolution; cross-functional collaboration; mentoring peers; calm under pressure; resilient problem solving.",41,64,54,86,55
"Web Developer resume. Bachelor of Technology. Skills: Docker, NLP, Node.js, Power BI. Experience: delivered 5 projects. Highlights: innovative ideas; design thinking; learning new technologies; quality assurance; structured documentation; community events; team support; mentoring peers; calm under pressure; steady decision making; resilient problem solving.",75,51,38,51,69
"Product Associate resume. Bachelor of Science. Skills: React, Python, Git, AWS. Experience: delivered 4 projects. Highlights: design thinking; curious research; organized planning; community events; stakeholder engagement; client presentations; conflict resolution; mentoring peers; cross-functional collaboration; resilient problem solving; calm under pressure; steady decision making.",63,49,83,89,80
"Web Developer resume. Master of Computer Applications. Skills: Git, Machine Learning, AWS, Java, Excel. Experience: delivered 5 projects. Highlights: design thinking; learning new technologies; innovative ideas; organized planning; team workshops; community events; conflict resolution; team support; deadline management; adaptable execution; resilient problem solving.",80,46,59,67,86
"Business Analyst resume. Computer Science degree. Skills: AWS, Machine Learning, Excel, Power BI, Node.js, TensorFlow, SQL. Experience: delivered 4 projects. Highlights: innovative ideas; curious research; reliable delivery; public speaking; empathetic communication; deadline management; steady decision making.",63,51,45,52,80
"Data Analyst resume. Bachelor of Technology. Skills: Java, Machine Learning, Node.js, C++, Excel. Experience: delivered 5 projects. Highlights: innovative ideas; creative experimentation; reliable delivery; structured documentation; quality assurance; public speaking; mentoring peers; resilient problem solving.",57,89,44,55,36
"Business Analyst resume. Bachelor of Science. Skills: TensorFlow, Excel, JavaScript, Python. Experience: delivered 4 projects. Highlights: design thinking; curious research; innovative ideas; attention to detail; organized planning; structured documentation; stakeholder engagement; team support; deadline management.",81,68,51,46,40
"Web Developer resume. Master of Computer Applications. Skills: C++, Python, Docker, Git, JavaScript. Experience: delivered 1 projects. Highlights: innovative ideas; design thinking; curious research; organized planning; quality assurance; community events; team workshops; conflict resolution; cross-functional collaboration; mentoring peers; deadline management.",80,66,63,77,45
"Web Developer resume. Master of Computer Applications. Skills: AWS, JavaScript, Power BI, Git. Experience: delivered 2 projects. Highlights: innovative ideas; reliable delivery; stakeholder engagement; community events; empathetic communication; mentoring peers; conflict resolution; resilient problem solving.",38,46,69,65,35
"Data Analyst resume. Bachelor of Technology. Skills: JavaScript, C++, Git, AWS. Experience: delivered 3 projects. Highlights: design thinking; attention to detail; quality assurance; reliable delivery; stakeholder engagement; community events; conflict resolution; team support; cross-functional collaboration; deadline management.",40,85,53,78,41
